,ts_code,trade_date,close,open,high,low,vol,amount,turnover_rate,turnover_rate_f,pe,pe_ttm,pb,bias5,bias10,bias20,bias60,CR20,ROC12,VPT,rank60d,VROC12,TVMA6,DAVOL5_60,WVAD6,VSTD20,AR26,BR26,VOL5,turnover_volatility20,ARBR,moneyflow20,variance20,skewness20,kurtosis20,sharpe20,variance60,skewness60,kurtosis60,label,close_NHCI,NHCI_pct_chg,close_SPX,SPX_pct_chg,close_XIN9,XIN9_pct_chg,north_money,south_money,date
1098,000001.SH,20200709,3450.5935,3403.4832,3456.9721,3393.6379,620001823,751406830.4,1.69,4.22,14.59,15.59,1.54,3.403665139,8.757678953,12.92642978,17.91587115,438.789583,16.27422329,8589895.254,60,134.5702136,663285388.3,2.319992358,1995924872,162793526.9,269.2499057,408.4795628,4.048,1.117711478,-139.2296572,1.04137E+12,21.12769611,1.302759142,2.818676441,1.082915326,12.403044,1.436220983,4.809858005,-1,1464.8881,0.0057,3152.05,-0.56,16230.29,0.39,7951.41,7450.09,2020/7/9
1099,000001.SH,20200710,3383.3222,3418.9347,3433.1085,3372.5066,556120011,703197550.4,1.52,3.79,14.24,15.21,1.51,0.006133992,5.297340522,9.9341272,15.23199018,365.968032,14.09821906,-10841878.68,59,107.597451,700782233,2.346092653,1299655402,167184359.7,237.0042975,290.1945504,4.178,1.147269069,-53.19025287,1.1053E+12,22.6278382,1.155458295,2.390789758,-0.811851251,12.37891629,1.442530116,4.828267635,1,1444.7124,-0.0138,3185.04,1.05,15824.7,-2.5,-4393.12,2829.96,2020/7/10
1100,000001.SH,20200713,3443.2863,3379.3867,3458.7914,3369.0378,558006875,717397053.1,1.53,3.8,14.5,15.48,1.54,1.118599406,5.580511038,10.94098299,16.8364146,379.9022588,15.91135696,9889800.047,60,147.7693727,731100186.1,2.225390732,1238131589,170876015.4,256.1654809,293.3216495,4.058,1.172403739,-37.15616854,1.16623E+12,22.17299385,0.974404036,2.060647641,1.443506499,12.91006897,1.32767424,4.119412789,-1,1471.5418,0.0186,3155.22,-0.94,16024.99,1.27,6850.35,6191.12,2020/7/13
1101,000001.SH,20200714,3414.6186,3435.0237,3451.2224,3366.0828,543211492,707327005.2,1.48,3.69,14.37,15.34,1.53,-0.129671611,3.339134166,9.147163485,15.48009963,413.6135998,14.60180319,-4522605.073,58,154.7887556,728295741,2.094197708,482985734.3,172244312.3,226.7328104,239.0391077,3.898,1.18144637,-12.3062973,1.22505E+12,23.07949056,1.102634903,2.09592703,-0.460996365,12.92638938,1.392395424,4.275613751,-1,1469.1954,-0.0016,3197.52,1.34,15840.2,-1.15,-17384.15,6568.55,2020/7/14
1102,000001.SH,20200715,3361.3044,3422.0778,3432.4506,3345.7488,492030542,674727409.8,1.34,3.34,14.15,15.1,1.51,-1.446086861,0.703691778,6.639775784,13.32564471,342.8273624,13.49943563,-7682326.431,55,123.0189719,708477247.2,1.990491284,468847238,170611436.6,194.3641107,206.3888233,3.768,1.16980194,-12.02471262,1.27324E+12,26.15037765,0.772927207,1.660864808,-1.286799086,13.73786191,1.193720063,3.845022032,-1,1473.1791,0.0027,3226.56,0.91,15686.59,-0.97,-2705.62,2052.56,2020/7/15
1103,000001.SH,20200716,3210.0986,3356.359,3373.5317,3209.7272,490613123,679468340.6,1.32,3.3,13.55,14.46,1.45,-4.533122394,-4.169564341,1.394963271,7.991016782,208.4167698,7.552734149,-22069869.59,52,128.2375706,705587364.9,1.862463191,-381495505.6,166865249.8,148.3197478,148.606221,3.584,1.140937288,-0.286473223,1.32115E+12,43.47148477,-0.48093796,2.43015022,-2.472606261,18.61082266,-0.132536399,5.354314543,1,1456.1447,-0.0116,3215.57,-0.34,14981.39,-4.5,-6920.36,406.72,2020/7/16
1104,000001.SH,20200717,3214.1287,3214.4022,3252.7786,3181.2745,359652413,486536118.3,0.97,2.43,13.55,14.47,1.45,-3.441555454,-4.224567411,1.078068752,7.899344511,166.8739319,6.217742279,451523.573,52,31.5898727,661442246.2,1.71059654,-844051247.3,162286189,145.190006,146.5172257,3.312,1.10998293,-1.327219758,1.34452E+12,43.52684484,-0.469577971,2.407464998,-0.010770409,18.61738601,-0.127629891,5.347445193,1,1460.9928,0.0033,3224.73,0.28,15124.51,0.96,1043.42,1865.18,2020/7/17
1105,000001.SH,20200720,3314.149,3243.9105,3314.149,3220.684,418555306,544045656.2,1.14,2.83,13.98,14.93,1.5,0.34179894,-1.188983277,3.612828461,10.97045998,183.307199,7.234256161,13025000.3,53,7.012361754,634916930.5,1.591628382,-202706909.6,158073409.8,155.2488312,172.4220533,3.118,1.081679372,-17.17322209,1.37519E+12,45.57799464,-0.552113942,2.057694149,1.15221688,19.46477443,-0.117541713,4.762360449,-1,1452.3247,-0.0059,3251.84,0.84,15504.66,2.51,-5898.96,4527.04,2020/7/20
1106,000001.SH,20200721,3320.8947,3330.5467,3336.6791,3300.5719,359252029,488862180.4,0.98,2.43,14.01,14.95,1.5,1.119924823,-0.915654018,3.253544946,10.89069781,188.0585544,5.331179532,731230.3738,52,-21.69641589,596827785.1,1.452978454,-696010442.2,154446847.4,153.5188105,180.628021,2.866,1.057710536,-27.1092105,1.3959E+12,45.75394448,-0.440208675,1.932448307,-0.162520251,19.39558997,-0.125887492,4.818580262,-1,1470.656,0.0126,3257.3,0.17,15492.21,-0.08,-3011.24,5116.9,2020/7/21
1107,000001.SH,20200722,3333.1635,3315.1816,3381.9757,3311.7862,393335335,540577040.6,1.07,2.69,13.89,14.79,1.52,1.667738858,-0.340626683,3.045662413,10.99818807,191.7573089,0.008485152,1453148.321,53,-38.91159792,569036124.3,1.373379068,-465052037.8,150106757.2,155.9394943,204.8914537,2.736,1.027097469,-48.95195941,1.42154E+12,45.60143759,-0.495150395,2.006083798,0.286462673,19.25693368,-0.110821747,4.92559248,-1,1480.0632,0.0064,3276.02,0.57,15545.88,0.35,4170.26,3382.06,2020/7/22
