,ts_code,trade_date,close,open,high,low,vol,amount,turnover_rate,turnover_rate_f,pe,pe_ttm,pb,bias5,bias10,bias20,bias60,CR20,ROC12,VPT,rank60d,VROC12,TVMA6,DAVOL5_60,WVAD6,VSTD20,AR26,BR26,VOL5,turnover_volatility20,ARBR,moneyflow20,variance20,skewness20,kurtosis20,sharpe20,variance60,skewness60,kurtosis60,log_ret,label,close_NHCI,NHCI_pct_chg,close_SPX,SPX_pct_chg,close_XIN9,XIN9_pct_chg,north_money,south_money,date
36,399001.SZ,20160301,9322.0,9116.557,9384.311,9011.509,210109005.06,280386381.5589,1.88,3.04,32.87,28.07,2.91,-2.595030553521017,-5.803090444786563,-4.212265127256453,,72.39876456687585,-3.6334191280530037,5188148.682955395,,42.612430755860295,325440831.95865,,-379622876.5179476,35480306.450223364,78.55592498706142,65.58877643309701,3.158,0.5272897435795719,12.967148553964407,1932920833866.3247,99.09265374740711,-1.1481164407840048,1.8653291345929648,0.813099246708579,,,,0.02439271656389515,1.0,897.4,0.0081,1978.35,2.39,8872.43,1.32,757.0,517.0,2016-03-01
37,399001.SZ,20160302,9766.366,9308.49,9781.914,9308.49,269773490.51,354165000.8946,2.53,4.1,34.41,29.4,3.05,3.2156112126295695,-0.9169796974873263,0.1767777944778226,,106.32150827124369,1.0086106458424005,12859704.664660659,,96.39668825179066,324248808.24228334,,-43323220.252753854,38672528.05155381,80.96854000270066,67.90960547800745,3.378,0.5992627048913391,13.058934524693214,1956713092434.7349,112.90648094078956,-1.0226605564096474,1.5674002003178367,1.6456639689600066,,,,0.04656724394756023,-1.0,902.51,0.0057,1986.45,0.41,9146.56,3.09,2992.0,286.0,2016-03-02
38,399001.SZ,20160303,9762.014,9770.739,9946.935,9748.997,288666936.52,383542952.1839,2.73,4.42,34.36,29.35,3.05,2.711668327600954,-0.6037706448227893,-0.2155655521566107,,121.43907295094031,-2.8207331797832866,-128633.15871382073,,44.044483228823296,329386597.2553167,,-100744864.54436304,42618382.855672635,84.14914367259168,73.00849924508034,3.4979999999999998,0.6868072586441671,11.140644427511333,2020034155905.1628,107.32235873050871,-1.1873420645397799,2.2756522288205403,-0.035337150437163345,,,,-0.00044571030183223904,-1.0,903.72,0.0013,1993.4,0.35,9170.78,0.26,-308.0,36.0,2016-03-03
39,399001.SZ,20160304,9536.707,9721.225,9797.56,9447.108,260496578.12,345664648.3045,2.45,3.97,33.67,28.76,2.99,0.41926568422433763,-2.275336166469008,-2.5775914231077146,,106.25089467864896,-6.151114043234006,-6012253.468032575,,12.883966401434266,321203076.89860004,,18316513.743378878,43818842.75802581,79.34808740081051,72.65012372391017,3.726,0.7180353311934624,6.697963676900343,2061806938469.6914,102.79588341843468,-1.0579435547260891,2.0922608057200716,-0.6938313026902979,,,,-0.023350483920853492,1.0,918.98,0.0169,1999.99,0.33,9434.82,2.88,1800.0,69.0,2016-03-04
40,399001.SZ,20160307,9703.83,9642.25,9805.369,9614.691,198685981.71,270057604.3186,1.79,2.91,34.23,29.22,3.04,0.8904654490160797,0.12168857112878793,-1.0632960945769803,,108.44044371122475,-4.078191482421216,3481809.5304092127,,-16.249567645245044,316824452.96068335,,120468814.91982692,41868334.031452686,85.31515789035089,77.52937412002929,3.6879999999999997,0.6873564921992235,7.785783770321601,2086024132328.444,102.32435087796065,-1.144796385223279,2.277336199131364,0.2257565547782414,,,,0.017372405263821836,-1.0,937.13,0.0198,2001.76,0.09,9382.38,-0.56,1153.0,425.0,2016-03-07
41,399001.SZ,20160308,9732.727,9690.569,9732.727,9348.76,230994060.81,312203939.9391,2.03,3.29,34.3,29.26,3.04,0.33399074060253975,1.0107145972163585,-0.8302472297003856,,89.85064377497199,-4.227265145786169,687876.3720331833,,21.313436032159792,324336754.53326666,,316349095.61973476,40668282.30627934,79.67787567435592,69.22027769988539,3.7380000000000004,0.6676705380413465,10.45759797447053,2118817832905.7422,97.02191991855837,-1.1436856597078877,2.578285671935995,0.1567981912975644,,,,0.0029734712059487057,-1.0,942.69,0.0059,1979.26,-1.12,9406.78,0.26,202.0,838.0,2016-03-08
42,399001.SZ,20160309,9523.144,9525.255,9672.487,9466.487,180320840.76,249502660.0945,1.55,2.52,33.54,28.62,2.97,-1.3317924071367444,-0.3531377823315569,-2.9085073994618824,,87.40072793064721,-8.175125120709367,-3883000.393312498,,-23.576937269126226,319189467.6225333,,198714783.42491135,39340641.5302353,93.13471705884083,76.80220608370954,3.4219999999999997,0.6480342745971324,16.3325109751313,2128702936405.015,95.89360588433635,-1.08434493604578,2.577275317882826,-0.012346225801647126,,,,-0.021769077762301494,-1.0,930.78,-0.0126,1989.26,0.51,9387.79,-0.2,308.0,981.0,2016-03-09
43,399001.SZ,20160310,9390.347,9526.187,9600.231,9382.158,151024903.23,213230186.3529,1.26,2.05,32.82,28.23,2.93,-1.9525649629004826,-1.5771505847804537,-4.065467392423935,,76.95810974589492,-8.828696908271088,-2105990.844434819,,-33.75339679730404,295700331.86558336,,-156273939.62232435,41241545.88396804,103.91504811434724,83.34449085480465,2.948,0.6764417351499178,20.570557259542596,2112686787637.2827,96.08954015897335,-0.9275029108079432,2.3022632846542117,-0.5388645435665512,,,,-0.014042799638908386,1.0,928.85,-0.0021,1989.57,0.02,9207.25,-1.92,472.0,610.0,2016-03-10
44,399001.SZ,20160311,9363.405,9286.525,9430.953,9254.236,127013351.93,175661769.8655,1.07,1.73,32.74,28.17,2.92,-1.8787741059109415,-1.642737883026023,-4.188959809037813,,72.29710519181793,-9.160411912500507,-364416.1102564096,,-42.86609034957327,261053468.14585003,,-88293023.69755094,43208804.01526908,111.31864498767705,89.17874142320136,2.5,0.7014766380174114,22.139903564475688,2100173214211.0493,95.45449102891402,-1.0624946304464056,2.5752979417109896,0.3039147965600522,,,,-0.0028732403558490425,1.0,932.07,0.0035,2022.19,1.64,9236.49,0.32,1217.0,795.0,2016-03-11
45,399001.SZ,20160314,9665.13,9466.419,9763.365,9466.419,206576985.57,301200756.7235,1.8,2.91,33.47,28.91,3.0,1.3652865700216537,0.9247886011761847,-1.0996790085648978,,90.69771819180033,1.1941481776503515,6656706.718454231,,-23.60507295955182,253642819.54901662,,187099814.898714,39314050.90989475,108.6884773981855,91.94619870218254,2.5,0.6488635814779721,16.742278696002955,2133543226573.7507,92.27005454212005,-1.1161335456612067,2.820143087124819,0.7852044502888437,,,,0.03171555677663047,-1.0,928.69,-0.0036,2019.64,-0.13,9278.0,0.45,705.0,809.0,2016-03-14
